campaign_id_column,campaign_name,campaign_source_column,campaign_medium_column,date_column,daily_impressions_column,daily_clicks_column,daily_cost_column
23852384456420158,AP_WideBusiness_migrants_USA/England_apps,facebook,cpa,2023-06-13,516,16,11.7
23852987314950158,AP_WideBusiness_migrants_Europe_apps,facebook,cpa,2023-06-13,1190,16,11.61
23852987463240158,AP_LaL7_27-65_AstanaAlmaty_apps,facebook,cpa,2023-06-13,1128,21,11.8
23854555696120158,AP_26-40_WideBusiness_UA_apps,facebook,cpa,2023-06-13,2747,26,17.66
23854834586520158,AP_26-44_TargetLal7_UA_magento,facebook,cpa,2023-06-13,1029,16,12.14
23855273546790158,AP_WideBusiness_27-65_Europe_apps,facebook,cpa,2023-06-13,2233,37,22.91
23855273589080158,AP_BusinessOwners_30-55_Europe_Magento,facebook,cpa,2023-06-13,6144,43,35.59
23855273764230158,AP_WideBusiness_26-44_Az_apps,facebook,cpa,2023-06-13,1422,21,5.8
23855273774050158,AP_WideBusiness_26-44_Uz/Kz_apps,facebook,cpa,2023-06-13,1268,16,5.82
23855273854280158,AP_drupal_ecom_UACities,facebook,cpa,2023-06-13,1056,12,11.91
23855545985950158,AP_WideBusiness_26-44_Prague_apps,facebook,cpa,2023-06-13,1174,7,11.87
23855546000140158,AP_WideBusiness_26-44_Canada_apps,facebook,cpa,2023-06-13,417,1,24.03
23855546046010158,AP_Widebusiness_26-44_Australia_Magento,facebook,cpa,2023-06-13,1252,2,23.73
23855546083160158,AP_WideBusiness_26-44_AllEast_apps,facebook,cpa,2023-06-13,1970,18,5.83
